Date,year,month,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM,Total
2004-01-01,2004,1,3.9,0.0,268.0,0.0,271.9
2004-01-02,2004,1,3.9,0.0,268.0,0.0,271.9
2004-01-03,2004,1,3.9,0.0,267.0,0.0,270.9
2004-01-04,2004,1,3.9,0.0,267.0,0.0,270.9
2004-01-05,2004,1,3.8,0.0,267.0,0.0,270.8
2004-01-06,2004,1,3.8,0.0,266.0,0.0,269.8
2004-01-07,2004,1,3.8,0.0,266.0,0.0,269.8
2004-01-08,2004,1,3.7,0.0,265.0,0.0,268.7
2004-01-09,2004,1,3.7,0.0,264.0,0.0,267.7
2004-01-10,2004,1,3.7,0.0,264.0,0.0,267.7
2004-01-11,2004,1,3.6,0.0,263.0,0.0,266.6
2004-01-12,2004,1,3.6,0.0,262.0,0.0,265.6
2004-01-13,2004,1,3.6,0.0,261.0,0.0,264.6
2004-01-14,2004,1,3.5,0.0,260.0,0.0,263.5
2004-01-15,2004,1,3.5,0.0,259.0,0.0,262.5
2004-01-16,2004,1,3.4,0.0,258.0,0.0,261.4
2004-01-17,2004,1,3.4,0.0,256.0,0.0,259.4
2004-01-18,2004,1,3.4,0.0,254.0,0.0,257.4
2004-01-19,2004,1,3.4,0.0,252.0,0.0,255.4
2004-01-20,2004,1,3.4,0.0,250.0,0.0,253.4
2004-01-21,2004,1,3.3,0.0,247.0,0.0,250.3
2004-01-22,2004,1,3.3,0.0,244.0,0.0,247.3
2004-01-23,2004,1,3.3,0.0,242.0,0.0,245.3
2004-01-24,2004,1,3.3,0.0,239.0,0.0,242.3
2004-01-25,2004,1,3.2,0.0,237.0,0.0,240.2
2004-01-26,2004,1,3.2,0.0,234.0,0.0,237.2
2004-01-27,2004,1,3.9,0.0,232.0,0.0,235.9
2004-01-28,2004,1,4.9,0.0,230.0,0.0,234.9
2004-01-29,2004,1,4.9,0.0,227.0,0.0,231.9
2004-01-30,2004,1,4.9,0.0,225.0,0.0,229.9
2004-01-31,2004,1,4.8,0.0,223.0,0.0,227.8
2004-02-01,2004,2,4.8,0.0,220.0,0.0,224.8
2004-02-02,2004,2,4.8,0.0,218.0,0.0,222.8
2004-02-03,2004,2,4.7,0.0,216.0,0.0,220.7
2004-02-04,2004,2,4.7,0.0,213.0,0.0,217.7
2004-02-05,2004,2,4.7,0.0,211.0,0.0,215.7
2004-02-06,2004,2,4.6,0.0,209.0,0.0,213.6
2004-02-07,2004,2,4.6,0.0,206.0,0.0,210.6
2004-02-08,2004,2,4.6,0.0,204.0,0.0,208.6
2004-02-09,2004,2,4.5,0.0,202.0,0.0,206.5
2004-02-10,2004,2,4.5,0.0,200.0,0.0,204.5
2004-02-11,2004,2,4.5,0.0,197.0,0.0,201.5
2004-02-12,2004,2,4.4,0.0,195.0,0.0,199.4
2004-02-13,2004,2,4.4,0.0,193.0,0.0,197.4
2004-02-14,2004,2,4.4,0.0,191.0,0.0,195.4
2004-02-15,2004,2,4.3,0.0,189.0,0.0,193.3
2004-02-16,2004,2,4.3,0.0,186.0,0.0,190.3
2004-02-17,2004,2,4.2,0.0,184.0,0.0,188.2
2004-02-18,2004,2,4.3,0.0,182.0,0.0,186.3
2004-02-19,2004,2,4.5,0.0,179.0,0.0,183.5
2004-02-20,2004,2,4.8,0.0,177.0,0.0,181.8
2004-02-21,2004,2,4.8,0.0,175.0,0.0,179.8
2004-02-22,2004,2,4.8,0.0,172.0,0.0,176.8
2004-02-23,2004,2,4.7,0.0,170.0,0.0,174.7
2004-02-24,2004,2,4.7,0.0,168.0,0.0,172.7
2004-02-25,2004,2,4.7,0.0,165.0,0.0,169.7
2004-02-26,2004,2,4.6,0.0,163.0,0.0,167.6
2004-02-27,2004,2,4.6,0.0,161.0,0.0,165.6
2004-02-28,2004,2,4.5,0.0,158.0,0.0,162.5
2004-02-29,2004,2,4.5,0.0,156.0,0.0,160.5
2004-03-01,2004,3,4.4,0.0,153.0,0.0,157.4
2004-03-02,2004,3,4.4,0.0,151.0,0.0,155.4
2004-03-03,2004,3,4.3,0.0,149.0,0.0,153.3
2004-03-04,2004,3,4.3,0.0,147.0,0.0,151.3
2004-03-05,2004,3,4.2,0.0,145.0,0.0,149.2
2004-03-06,2004,3,4.2,0.0,143.0,0.0,147.2
2004-03-07,2004,3,4.2,0.0,141.0,0.0,145.2
2004-03-08,2004,3,4.1,0.0,139.0,0.0,143.1
2004-03-09,2004,3,6.96,0.0,137.0,0.0,143.96
2004-03-10,2004,3,10.9,0.0,135.0,0.0,145.9
2004-03-11,2004,3,14.4,0.0,134.0,0.0,148.4
2004-03-12,2004,3,15.4,0.0,137.0,0.0,152.4
2004-03-13,2004,3,16.2,0.0,140.0,0.0,156.2
2004-03-14,2004,3,18.4,0.0,144.0,0.0,162.4
2004-03-15,2004,3,21.0,0.0,147.7,0.0,168.7
2004-03-16,2004,3,23.4,0.0,151.5,0.0,174.9
2004-03-17,2004,3,25.2,0.0,155.3,0.0,180.5
2004-03-18,2004,3,25.7,0.0,158.5,0.0,184.2
2004-03-19,2004,3,24.0,0.0,161.7,0.0,185.7
2004-03-20,2004,3,20.6,0.0,165.0,0.0,185.6
2004-03-21,2004,3,17.1,0.0,168.2,0.0,185.29999999999998
2004-03-22,2004,3,12.7,0.0,171.5,0.0,184.2
2004-03-23,2004,3,10.0,0.0,174.9,0.0,184.9
2004-03-24,2004,3,9.2,0.0,177.0,0.0,186.2
2004-03-25,2004,3,9.5,0.0,179.0,0.0,188.5
2004-03-26,2004,3,9.6,0.0,181.0,0.0,190.6
2004-03-27,2004,3,9.6,0.0,182.8,0.0,192.4
2004-03-28,2004,3,9.1,0.0,184.7,0.0,193.79999999999998
2004-03-29,2004,3,8.5,0.0,186.6,0.0,195.1
2004-03-30,2004,3,7.9,0.0,187.8,0.0,195.70000000000002
2004-03-31,2004,3,7.9,0.0,188.8,0.0,196.70000000000002
2004-04-01,2004,4,7.9,0.0,190.0,0.0,197.9
2004-04-02,2004,4,8.1,0.0,191.1,0.0,199.2
2004-04-03,2004,4,8.3,0.0,191.7,0.0,200.0
2004-04-04,2004,4,7.5,0.0,192.4,0.0,199.9
2004-04-05,2004,4,6.5,0.0,192.7,0.0,199.2
2004-04-06,2004,4,5.6,0.0,191.7,0.0,197.29999999999998
2004-04-07,2004,4,5.4,0.0,190.0,0.0,195.4
2004-04-08,2004,4,5.8,0.0,188.3,0.0,194.10000000000002
2004-04-09,2004,4,6.8,0.0,186.8,0.0,193.60000000000002
2004-04-10,2004,4,7.7,0.0,186.3,0.0,194.0
2004-04-11,2004,4,7.9,0.0,186.3,0.0,194.20000000000002
2004-04-12,2004,4,7.1,0.0,186.3,0.0,193.4
2004-04-13,2004,4,6.2,0.0,186.3,0.0,192.5
2004-04-14,2004,4,5.8,0.0,185.6,0.0,191.4
2004-04-15,2004,4,5.7,0.0,184.6,0.0,190.29999999999998
2004-04-16,2004,4,5.4,0.0,182.9,0.0,188.3
2004-04-17,2004,4,5.0,0.0,180.9,0.0,185.9
2004-04-18,2004,4,4.8,0.0,178.7,0.0,183.5
2004-04-19,2004,4,4.7,0.0,176.5,0.0,181.2
2004-04-20,2004,4,4.6,0.0,174.2,0.0,178.79999999999998
2004-04-21,2004,4,4.5,0.0,171.7,0.0,176.2
2004-04-22,2004,4,4.4,0.0,169.4,0.0,173.8
2004-04-23,2004,4,4.3,0.0,167.4,0.0,171.70000000000002
2004-04-24,2004,4,4.2,0.0,165.4,0.0,169.6
